2347,27,58,31
211,5,29,24
211,35,36,1
1453,38,41,3
1987,20,25,5
1987,28,44,16
769,13,50,37
769,57,58,1
1453,1,39,38
1249,41,43,2
1249,55,57,2
2039,1,36,35
2039,48,55,7
877,14,43,29
877,46,59,13
1217,13,47,34
809,40,49,9
2039,37,38,1
2039,56,59,3
1217,8,56,48
661,11,53,42
1249,34,37,3
1249,49,56,7
3541,12,26,14
3541,35,37,2
2039,33,55,22
661,38,49,11
3541,16,52,36
769,29,47,18
769,50,51,1
2039,29,50,21
769,42,55,13
1013,53,59,6
349,10,53,43
349,56,59,3
661,5,56,51
2039,53,58,5
1733,21,35,14
509,9,29,20
509,39,58,19
1249,18,50,32
877,4,46,42
877,50,57,7
1249,38,57,19
2039,17,36,19
2039,53,59,6
2039,41,46,5
2039,49,59,10
2039,4,35,31
2039,46,56,10
769,4,52,48
1013,37,52,15
769,19,20,1
769,48,58,10
877,1,35,34
877,39,55,16
661,12,50,38
1217,17,54,37
1217,57,59,2
1987,22,25,3
1987,36,56,20
233,4,28,24
233,35,52,17
1733,18,45,27
2347,37,43,6
2347,47,58,11
809,9,35,26
809,40,47,7
877,1,6,5
877,22,29,7
877,35,50,15
349,28,43,15
1249,4,50,46
1249,53,55,2
1733,32,41,9
509,29,31,2
509,47,49,2
509,56,58,2
509,14,20,6
509,39,43,4
509,48,56,8
661,22,38,16
211,37,53,16
1733,20,50,30
769,21,47,26
769,54,57,3
1453,6,23,17
1453,33,42,9
1217,9,27,18
1217,30,37,7
1013,46,51,5
233,19,59,40
233,15,27,12
233,39,44,5
233,48,57,9
2663,14,49,35
1733,8,43,35
1987,6,43,37
661,2,17,15
661,23,34,11
661,37,48,11
211,13,53,40
509,24,25,1
509,39,47,8
509,50,58,8
2039,32,52,20
2347,13,37,24
2347,52,56,4
211,33,48,15
1987,13,30,17
1987,38,57,19
769,41,53,12
1217,23,41,18
1217,47,58,11
1987,30,36,6
1987,43,46,3
1987,54,59,5
1013,17,33,16
1013,42,51,9
2347,42,59,17
1733,11,14,3
1733,40,47,7
509,21,39,18
509,42,50,8
1733,25,44,19
769,40,47,7
2347,46,56,10
349,29,41,12
349,50,53,3
191,41,43,2
191,47,55,8
191,21,37,16
1217,24,54,30
1013,27,49,22
1249,43,52,9
349,5,46,41
349,51,52,1
2663,1,24,23
2663,38,50,12
2663,57,58,1
211,0,43,43
349,30,38,8
2347,52,59,7
2039,5,52,47
349,9,33,24
349,35,42,7
191,10,51,41
1987,9,36,27
1987,8,30,22
1987,38,45,7
1733,0,10,10
1733,13,34,21
1733,38,44,6
233,37,45,8
233,51,58,7
349,24,32,8
877,27,30,3
877,53,55,2
1249,31,44,13
1249,53,55,2
2039,10,47,37
211,18,30,12
211,34,55,21
1987,4,31,27
1987,48,49,1
1987,56,59,3
509,14,32,18
509,46,51,5
1013,15,30,15
1013,33,44,11
1013,31,56,25
1013,30,56,26
809,33,50,17
211,15,47,32
211,56,57,1
